point_yr,species,dist1_1,dist2_1,dist3_1,dist4_1,dist1_2,dist2_2,dist3_2,dist4_2,year_1,year_2,jday_r_1,jday_r_2,jday_rsq_1,jday_rsq_2,tssr_r_1,tssr_r_2,tssr_rsq_1,tssr_rsq_2,wind_r_1,wind_r_2,obs_1,obs_2
CE001_2018,ACFL,0,0,0,0,0,0,0,0,2018,2018,0.5434782608695652,0.8695652173913043,0.2953686200378072,0.7561436672967864,0.5796019900497512,0.3756218905472637,0.3359384668696319,0.14109180465830054,0.3191489361702128,0.3191489361702128,JAN,ME
CE001_2019,ACFL,0,0,0,0,0,0,0,0,2019,2019,0.29347826086956524,0.8478260869565217,0.08612948960302459,0.7188090737240076,0.4601990049751244,0.4577114427860697,0.21178312418009457,0.20949976485730554,0.3191489361702128,0.2127659574468085,JAN,CL
CE002_2018,ACFL,0,0,0,0,0,0,0,0,2018,2018,0.5434782608695652,0.8695652173913043,0.2953686200378072,0.7561436672967864,0.11940298507462686,0.017412935323383085,0.014257072844731565,3.032103165763224e-4,0.2127659574468085,0.2765957446808511,JAN,ME
CE002_2019,ACFL,0,0,0,0,0,0,0,0,2019,2019,0.29347826086956524,0.8478260869565217,0.08612948960302459,0.7188090737240076,0.1044776119402985,0.09950248756218906,0.010915571396747604,0.009900745031063588,0.2765957446808511,0.06382978723404255,JAN,CL
CE003_2018,ACFL,0,0,0,0,0,0,0,0,2018,2018,0.5434782608695652,0.8695652173913043,0.2953686200378072,0.7561436672967864,0.5099502487562189,0.3308457711442786,0.2600492562065295,0.10945892428405236,0.3829787234042553,0.3191489361702128,JAN,ME
CE003_2019,ACFL,0,0,0,0,1,1,0,0,2019,2019,0.29347826086956524,0.8478260869565217,0.08612948960302459,0.7188090737240076,0.43781094527363185,0.4154228855721393,0.19167842380139105,0.17257617385708274,0.2978723404255319,0.1276595744680851,JAN,CL
CE004_2018,ACFL,0,0,1,0,1,0,0,0,2018,2018,0.5434782608695652,0.8695652173913043,0.2953686200378072,0.7561436672967864,0.15671641791044777,0.06218905472636816,0.024560035642682113,0.003867478527759214,0.3191489361702128,0.3829787234042553,JAN,ME
CE004_2019,ACFL,0,0,1,0,1,1,0,0,2019,2019,0.29347826086956524,0.8478260869565217,0.08612948960302459,0.7188090737240076,0.1517412935323383,0.14427860696517414,0.023025420162867256,0.020816316427811194,0.3191489361702128,0.06382978723404255,JAN,CL
CE006_2018,ACFL,0,0,0,0,0,0,0,0,2018,2018,0.5434782608695652,0.8695652173913043,0.2953686200378072,0.7561436672967864,0.4601990049751244,0.2860696517412935,0.21178312418009457,0.08183584564738496,0.3829787234042553,0.3404255319148936,JAN,ME
CE006_2019,ACFL,0,0,0,1,1,0,0,0,2019,2019,0.29347826086956524,0.8478260869565217,0.08612948960302459,0.7188090737240076,0.3855721393034826,0.3656716417910448,0.1486658746070642,0.13371574961015817,0.3191489361702128,0.10638297872340426,JAN,CL
