point_id,detect_vis_1,detect_vis_2,jday_vis_1,obs_vis_1,tssr_vis_1,wind_vis_1,jday_vis_2,obs_vis_2,tssr_vis_2,wind_vis_2,num_tree_spp,live_basal,oak_prop,can_clos_prop,shrub_dens,prop_forest_1km,prop_forest_10km
CE001,0,0,163,0,145,7.5,214,1,144,5,4,12,0,0.8,0.614316239,0.38213345,0.291346093
CE002,0,0,163,0,2,6.5,214,1,0,1.5,4,18,0.833333333,1,1.009483022,0.386084284,0.292598461
CE003,0,0,163,0,136,7,214,1,127,3,1,16,1,0.95,1.469017094,0.445566286,0.291388737
CE004,0,0,163,0,21,7.5,214,1,18,1.5,2,22,0.954545455,0.9,1.121794872,0.466637401,0.29267477
CE006,0,0,163,0,115,7.5,214,1,107,2.5,3,24,0.333333333,0.9,1.09508547,0.525680421,0.290365296
CE007,0,0,163,0,41,NA,214,1,35,1.5,2,13,0.307692308,0.95,0.887121444,0.547410009,0.292032876
CE008,0,0,163,0,95,8,214,1,88,1.5,4,18,0.611111111,0.8,3.525641026,0.572870939,0.290313675
CE009,0,0,163,0,78,6,214,1,68,4,3,11,0.090909091,0.95,3.205128205,0.611940299,0.2906638
CE010,0,0,163,0,61,NA,214,1,51,1.5,2,19,0,1,2.724358974,0.635645303,0.290802952
CE012,0,0,156,0,184,4.5,210,1,171,6.5,3,18,0.611111111,1,1.014957265,0.512510975,0.281448348
CE013,0,0,156,1,220,6,210,0,162,6.5,4,19,0.684210526,0.95,1.175213675,0.50285338,0.283843108
CE014,0,0,156,1,200,4.5,210,0,142,6,5,15,0.733333333,1,2.670940171,0.517559263,0.285308693
CE015,0,0,156,1,179,1.5,210,0,124,4.5,1,6,0,0.65,0.694444444,0.559701493,0.287813429
CE016,0,0,156,1,138,0,210,0,78,7,4,4,0.25,0.45,4.033119658,0.615013169,0.289617916
CE017,0,0,156,1,119,0,210,0,63,6,5,11,0,0.95,2.590811966,0.651448639,0.290127391
CE020,0,0,164,0,39,15.5,212,1,66,6,1,3,0,0.15,3.846153846,0.500877963,0.271858083
CE021,0,0,164,0,58,14,212,1,85,7,5,27,0.259259259,1,1.148504274,0.526119403,0.273815188
CE022,0,0,164,0,73,16,212,1,101,6.5,3,10,0.8,1,0.587606838,0.570895522,0.27651743
CE026,0,0,166,1,229,9.5,210,0,109,7,6,10,0.7,1,2.483974359,0.624451273,0.285679017
CE027,0,0,156,1,157,0,210,0,93,7,0,0,0,0.05,0.641025641,0.66022827,0.287597967
CE028,0,0,156,1,97,0,210,0,47,5.5,1,1,1,0.45,3.926282051,0.674495171,0.288455323
CE029,0,0,164,0,21,15,212,1,45,6,0,0,0,0,0.053418803,0.555531168,0.269732649
CE030,0,0,164,0,2,12,212,1,26,5,3,7,0.714285714,0.85,1.736111111,0.580772608,0.271380029
CE031,0,0,164,0,88,15.5,212,1,9,1.5,2,19,0.894736842,0.9,0.93482906,0.617208077,0.273714191
CE032,0,0,156,1,-1,0,210,0,-16,4,5,10,0.5,0.75,2.508412359,0.65166813,0.281630143
CE033,0,0,156,1,25,0,210,0,-1,5.5,1,8,0,0.5,5.502136752,0.658033363,0.283385253
CE034,0,0,156,1,49,0,210,0,15,5.5,4,13,0.846153846,1,2.270299145,0.665935031,0.285573531
CE035,0,0,156,1,73,0,210,0,31,6.5,2,27,0,1,3.258547009,0.667032485,0.287263554
CE036,0,0,156,0,125,0,210,1,109,7,0,0,0,0,0,0.506145742,0.26597779
CE037,0,0,156,0,145,0,210,1,126,4.5,6,15,0.2,0.95,1.602564103,0.573968393,0.267106716
CE038,0,0,156,0,160,0,210,1,144,6,3,16,0.75,0.95,1.629273504,0.605575066,0.268596989
CE041,0,0,164,0,103,15.5,212,1,-13,2.5,4,8,0,0.8,3.498931624,0.639815628,0.275989999
CE044,0,0,164,1,64,14,212,0,20,5,5,11,0,0.9,0.721153846,0.646839333,0.285270538
CE045,0,0,164,1,43,15.5,212,0,5,1.5,7,18,0.666666667,0.95,1.121794872,0.640254609,0.285441112
CE047,0,0,156,0,106,0,210,1,91,7,5,16,0.6875,1,1.415598291,0.520851624,0.263073553
CE048,0,0,156,0,11,2.5,210,1,6,5.5,4,18,0.888888889,1,1.25534188,0.602063213,0.264072305
CE049,0,0,156,0,29,0,210,1,23,6.5,6,19,0.526315789,1,0.827991453,0.639596137,0.265881281
CE051,0,0,164,1,86,15.5,212,0,36,6,4,16,0.625,0.85,0.881410256,0.616988586,0.281118423
CE052,0,0,164,1,110,16.5,212,0,51,6,2,5,0.8,0.95,3.258547009,0.614135206,0.283544605
CE053,0,0,164,1,24,15,212,0,-1,1.5,3,6,0,0.9,3.525641026,0.621597893,0.283735378
CE055,0,0,156,0,92,0,210,1,75,6,4,16,0.6875,0.9,2.083333333,0.590649693,0.260766323
CE056,0,0,156,0,63,0,210,1,57,5.5,4,17,0.882352941,1,1.442307692,0.643985953,0.262330661
CE057,0,0,156,0,47,0,210,1,41,5.5,4,17,0.882352941,1,1.442307692,0.669885865,0.263908465
CE060,0,0,164,1,133,16.5,212,0,65,6,3,7,0,0.7,4.433760684,0.633011414,0.280662812
CE061,0,0,164,1,5,15,212,0,-21,2.5,3,4,0,0.85,3.739316239,0.627524144,0.281953335
CE063,0,0,163,1,110,7.5,214,0,33,1.5,5,23,0.565217391,0.95,1.923076923,0.656277436,0.25891246
CE064,0,0,163,1,127,7,214,0,19,1.5,4,11,0.636363636,0.85,1.148504274,0.68832309,0.260923431
CE065,0,0,163,1,144,7,214,0,4,1.5,3,16,0.875,0.95,0.614316239,0.674934153,0.262238641
CE072,0,0,163,1,89,8,214,0,48,1.5,4,17,0,0.95,0.721153846,0.660447761,0.255516703
CE073,1,0,163,1,72,6,214,0,63,4,6,13,0.230769231,1,3.872863248,0.67976295,0.2564773
CE074,0,0,163,1,52,NA,214,0,79,1.5,5,17,0.176470588,0.95,1.442307692,0.673617208,0.258194256
CE075,0,0,163,1,32,NA,214,0,94,2.5,3,13,0.846153846,1,1.09508547,0.602063213,0.259798993
CE076,0,0,163,1,15,7.5,214,0,117,3,3,9,0.777777778,0.9,2.02991453,0.534679543,0.26085161
CH001,0,0,160,1,193,7,207,0,97,10.5,4,9,0.888888889,0.65,3.525641026,0.455449827,0.301886496
CH002,0,0,160,1,174,7,207,0,81,10.5,5,10,0.6,0.95,3.632478632,0.496756055,0.302843415
CH003,0,0,160,1,213,7.5,207,0,111,11,4,7,0.285714286,0.9,3.044871795,0.531790657,0.30113127
CH004,0,0,160,1,143,6.5,207,0,66,13.5,6,15,0.4,1,1.495726496,0.548226644,0.302117322
CH005,0,0,160,1,230,9.5,207,0,127,13,3,3,0.666666667,0.9,1.522435897,0.573313149,0.301624296
CH006,0,0,160,1,119,8.5,207,0,50,11,3,8,0.625,0.8,2.537393162,0.581098616,0.302993564
CH007,0,0,160,1,15,7,207,0,-26,9.5,3,5,0.2,1,2.661364332,0.564446367,0.301922353
CH008,1,0,160,1,98,NA,207,0,36,10.5,6,10,0.4,0.95,2.911324786,0.589965398,0.302975636
CH009,0,0,160,0,151,7,204,1,128,0,2,10,1,1,1.362179487,0.589316609,0.304770698
CH010,0,0,160,0,171,7,204,1,147,0,5,20,0.1,0.7,0.587606838,0.580882353,0.30660834
CH011,0,0,160,0,195,7,204,1,176,0,5,12,0,0.95,3.579059829,0.570717993,0.307952956
CH012,0,0,160,0,221,7.5,204,1,198,1.5,4,7,0.142857143,0.85,2.991452991,0.566392734,0.308212915
CH013,0,0,160,0,243,9.5,204,1,221,0,3,10,0.7,0.95,4.754273504,0.59083045,0.307576464
CH014,0,0,160,1,37,9,207,0,-8,9.5,4,9,0.333333333,0.9,2.831196581,0.547145329,0.301532414
CH015,0,0,160,1,57,9.5,207,0,7,11,6,15,0.266666667,1,2.751068376,0.567690311,0.302729123
CH016,0,0,160,1,76,9,207,0,22,10.5,5,11,0.727272727,0.85,2.96474359,0.577205882,0.304096149
CH017,0,0,160,0,125,6.5,204,1,105,0,5,14,0.571428571,0.9,2.911324786,0.578287197,0.305929309
CH018,0,0,160,0,106,8.5,204,1,85,0,6,8,0.125,0.85,1.495726496,0.598615917,0.307005002
CH019,0,0,160,0,86,NA,204,1,66,0,1,1,1,0.3,2.697649573,0.595371972,0.308161372
CH020,0,0,160,0,66,9,204,1,48,0,9,15,0.333333333,0.95,2.02991453,0.613754325,0.307930546
CH021,0,0,160,0,46,9.5,204,1,29,0,7,9,0.222222222,0.8,1.495726496,0.605103806,0.308656639
